ID,FG_PCT_HOME,FG3_PCT_HOME,FT_PCT_HOME,OREB_HOME,DREB_HOME,REB_HOME,AST_HOME,STL_HOME,BLK_HOME,TOV_HOME,PF_HOME,PLUS_MINUS_HOME,FG_PCT_AWAY,FG3_PCT_AWAY,FT_PCT_AWAY,OREB_AWAY,DREB_AWAY,REB_AWAY,AST_AWAY,STL_AWAY,BLK_AWAY,TOV_AWAY,PF_AWAY,PLUS_MINUS_AWAY,WL_HOME
39232,0.412,0.4,0.857,13,41,54,20,8,6,19,21.0,6,0.424,0.261,0.7,7,37,44,18,8,2,17,23.0,-6,W
39233,0.463,0.188,0.682,14,40,54,28,5,4,14,20.0,15,0.359,0.25,0.704,9,28,37,23,6,3,11,20.0,-15,W
39234,0.485,0.385,0.789,21,30,51,22,11,3,14,23.0,17,0.488,0.267,0.593,16,25,41,23,5,4,17,15.0,-17,W
39235,0.462,0.571,0.75,15,36,51,27,0,3,18,23.0,-7,0.5,0.25,0.682,8,22,30,20,7,4,5,20.0,7,L
39236,0.435,0.364,0.5,12,27,39,20,10,6,23,16.0,-6,0.432,0.375,0.786,14,26,40,19,19,5,20,16.0,6,L
39237,0.418,0.4,0.923,12,29,41,16,9,2,16,18.0,-11,0.456,0.467,0.875,12,30,42,20,6,7,16,18.0,11,L
39238,0.468,0.0,0.704,6,25,31,23,10,8,16,23.0,-10,0.463,0.462,0.75,13,36,49,21,11,5,18,24.0,10,L
39239,0.494,0.526,0.708,14,23,37,30,13,5,11,19.0,22,0.521,0.438,0.8,5,29,34,19,5,5,21,25.0,-22,W
39240,0.455,0.5,0.8,7,31,38,24,7,8,15,22.0,8,0.407,0.182,0.882,12,30,42,17,7,2,19,23.0,-8,W
39241,0.415,0.478,0.964,20,23,43,25,5,8,11,20.0,4,0.554,0.429,0.7,9,23,32,25,5,9,13,23.0,-4,W
39242,0.443,0.417,0.679,14,28,42,19,11,4,12,20.0,3,0.442,0.222,0.828,13,32,45,18,7,5,15,22.0,-3,W
39243,0.42,0.625,0.474,14,29,43,19,11,3,21,20.0,-8,0.478,0.385,0.688,6,30,36,21,10,9,18,18.0,8,L
39244,0.44,0.308,0.696,14,34,48,20,10,5,11,24.0,-2,0.468,0.313,0.655,11,28,39,19,9,1,16,20.0,2,L
39245,0.475,0.5,0.727,19,31,50,19,7,7,11,26.0,18,0.376,0.462,0.621,19,25,44,12,6,5,11,26.0,-18,W
39246,0.471,0.462,0.842,4,21,25,18,6,5,22,17.0,-24,0.542,0.583,1.0,16,25,41,23,6,9,17,24.0,24,L
39247,0.449,0.333,0.852,17,28,45,20,11,8,19,14.0,10,0.48,0.5,0.667,3,25,28,20,13,2,17,24.0,-10,W
39248,0.506,0.5,0.708,6,40,46,23,7,5,12,17.0,14,0.402,0.316,0.81,13,35,48,25,9,5,13,18.0,-14,W
39249,0.521,0.5,0.818,4,34,38,27,6,3,15,24.0,11,0.383,0.35,0.677,12,27,39,25,4,4,12,25.0,-11,W
39250,0.478,0.357,0.667,19,36,55,25,9,4,18,19.0,14,0.385,0.167,0.864,12,30,42,20,10,12,15,14.0,-14,W
39251,0.455,0.438,0.647,12,36,48,28,14,4,18,19.0,18,0.405,0.5,0.773,12,29,41,17,15,4,22,17.0,-18,W
39252,0.487,0.333,0.727,11,27,38,21,5,9,12,18.0,-2,0.519,0.222,0.867,9,27,36,28,6,9,12,20.0,2,L
39253,0.481,0.308,0.591,11,29,40,23,10,7,12,20.0,2,0.468,0.4,0.75,11,33,44,16,6,4,18,21.0,-2,W
39254,0.39,0.227,0.75,15,25,40,25,9,7,13,19.0,-5,0.479,0.467,0.778,11,30,41,19,8,3,18,20.0,5,L
39255,0.435,0.238,0.667,16,26,42,19,7,3,15,20.0,-16,0.483,0.474,0.737,17,31,48,21,11,3,11,22.0,16,L
39256,0.52,0.167,0.813,10,32,42,17,8,7,14,11.0,12,0.438,0.462,0.5,11,25,36,17,10,4,15,20.0,-12,W
39257,0.42,0.438,0.636,17,33,50,18,5,5,15,20.0,7,0.365,0.28,0.813,14,31,45,22,10,14,12,22.0,-7,W
39258,0.462,0.25,0.857,12,34,46,19,6,6,10,21.0,9,0.41,0.133,0.739,7,26,33,18,5,5,8,15.0,-9,W
39259,0.5,0.353,0.808,18,37,55,32,5,5,15,20.0,15,0.448,0.385,0.684,9,19,28,19,5,3,6,21.0,-15,W
39260,0.451,0.389,0.5,17,22,39,30,10,5,13,19.0,-9,0.5,0.556,0.773,12,30,42,22,10,4,14,15.0,9,L
39261,0.379,0.167,0.789,18,38,56,23,4,5,13,19.0,-5,0.388,0.417,0.615,13,33,46,23,6,7,11,18.0,5,L
39262,0.405,0.133,0.579,9,31,40,20,9,5,17,22.0,-13,0.438,0.444,0.733,10,37,47,19,11,6,18,23.0,13,L
39263,0.514,0.333,0.75,6,22,28,25,11,6,12,15.0,-5,0.446,0.6,0.933,18,29,47,22,8,4,18,17.0,5,L
39264,0.353,0.308,0.7,17,36,53,20,9,12,11,40.0,-5,0.329,0.174,0.778,20,40,60,16,7,11,19,27.0,5,L
39265,0.44,0.444,0.833,12,26,38,20,11,9,17,11.0,8,0.447,0.5,0.769,18,27,45,20,11,3,15,21.0,-8,W
39266,0.452,0.278,0.619,10,19,29,13,7,3,14,23.0,-10,0.475,0.111,0.895,15,26,41,15,6,3,14,18.0,10,L
39267,0.5,0.35,0.765,11,33,44,28,9,5,10,18.0,13,0.41,0.375,0.773,17,30,47,21,4,4,16,18.0,-13,W
39268,0.427,0.533,0.52,17,31,48,25,5,5,8,18.0,-15,0.494,0.417,0.783,10,36,46,36,3,1,6,17.0,15,L
