ID,WL_HOME,FG_PCT_HOME,FG3_PCT_HOME,FT_PCT_HOME,OREB_HOME,DREB_HOME,REB_HOME,AST_HOME,STL_HOME,BLK_HOME,TOV_HOME,PF_HOME,PLUS_MINUS_HOME,FG_PCT_AWAY,FG3_PCT_AWAY,FT_PCT_AWAY,OREB_AWAY,DREB_AWAY,REB_AWAY,AST_AWAY,STL_AWAY,BLK_AWAY,TOV_AWAY,PF_AWAY,PLUS_MINUS_AWAY
41839,W,0.528,0.462,0.739,8,29,37,26,9,7,16,22.0,4,0.507,0.25,0.708,12,27,39,22,9,5,17,26.0,-4
41840,W,0.507,0.316,0.821,12,36,48,18,10,7,21,19.0,16,0.415,0.429,0.929,10,21,31,17,11,1,15,16.0,-16
41841,W,0.544,0.556,0.844,11,29,40,21,8,2,15,24.0,12,0.506,0.0,0.852,13,22,35,16,10,1,14,25.0,-12
41842,W,0.5,0.412,0.706,13,41,54,22,8,5,14,21.0,32,0.338,0.125,0.722,9,25,34,12,8,4,13,13.0,-32
41843,L,0.389,0.118,0.767,12,28,40,14,3,2,15,16.0,-6,0.439,0.25,0.929,15,31,46,22,9,7,13,25.0,6
41844,W,0.464,0.2,0.677,11,33,44,25,6,13,17,20.0,6,0.386,0.273,0.583,15,28,43,24,7,1,13,22.0,-6
41845,W,0.494,0.4,0.889,10,38,48,30,5,12,18,19.0,19,0.315,0.143,0.6,23,23,46,17,7,0,13,17.0,-19
41846,W,0.481,0.5,0.773,9,41,50,24,6,4,13,22.0,21,0.309,0.182,0.806,11,29,40,14,6,2,12,19.0,-21
41847,L,0.382,0.231,0.75,12,33,45,23,3,7,14,20.0,-20,0.456,0.267,0.909,8,30,38,25,9,5,7,24.0,20
41848,W,0.494,0.125,0.913,7,46,53,30,7,8,18,20.0,1,0.404,0.4,0.714,9,34,43,30,14,4,9,21.0,-1
41849,W,0.466,0.45,0.742,7,30,37,28,9,1,15,11.0,5,0.458,0.467,0.923,12,31,43,18,14,5,16,22.0,-5
41850,L,0.385,0.3,0.88,9,26,35,20,13,2,14,20.0,-11,0.461,0.182,0.759,14,32,46,23,7,4,19,23.0,11
41851,W,0.418,0.28,0.917,10,37,47,27,9,3,11,18.0,17,0.348,0.357,0.636,7,24,31,14,5,2,13,16.0,-17
41852,L,0.395,0.368,0.7,12,35,47,16,3,7,21,18.0,-20,0.473,0.4,0.75,11,30,41,24,10,1,7,22.0,20
41853,L,0.442,0.375,0.767,17,31,48,22,11,7,20,25.0,-1,0.525,0.5,0.897,6,26,32,34,12,4,18,31.0,1
41854,L,0.514,0.357,0.895,5,31,36,29,8,1,19,20.0,-3,0.506,0.5,0.625,11,22,33,29,10,5,14,18.0,3
41855,W,0.447,0.333,0.889,16,33,49,20,9,1,17,25.0,12,0.368,0.222,0.75,14,26,40,18,12,5,17,19.0,-12
41856,W,0.397,0.385,0.919,9,30,39,24,12,9,12,19.0,24,0.431,0.2,0.722,9,32,41,16,10,15,21,31.0,-24
41857,L,0.375,0.308,0.636,16,27,43,17,9,6,10,19.0,-8,0.481,0.4,0.818,11,35,46,30,6,8,17,23.0,8
41858,W,0.506,0.545,0.727,13,23,36,27,7,8,15,24.0,22,0.356,0.25,0.9,17,26,43,16,6,4,22,23.0,-22
41859,W,0.545,0.611,0.857,8,27,35,22,8,5,18,14.0,9,0.476,0.389,0.647,16,16,32,22,13,3,11,19.0,-9
41860,W,0.437,0.409,0.647,9,34,43,22,10,5,21,19.0,1,0.419,0.294,0.737,8,31,39,19,9,8,16,20.0,-1
41861,L,0.314,0.273,0.906,22,20,42,18,6,5,18,14.0,-17,0.57,0.364,0.5,10,31,41,25,10,3,17,25.0,17
41862,W,0.444,0.154,0.579,12,34,46,25,11,10,18,24.0,8,0.354,0.412,0.585,14,30,44,10,12,4,24,24.0,-8
41863,L,0.44,0.409,0.783,9,27,36,25,5,3,13,21.0,-11,0.512,0.222,0.8,13,31,44,18,7,4,12,20.0,11
41864,L,0.4,0.615,0.722,13,21,34,20,11,4,16,21.0,-3,0.427,0.308,0.727,17,28,45,26,8,5,16,20.0,3
41865,W,0.427,0.0,0.786,6,34,40,19,8,8,10,19.0,5,0.407,0.167,0.643,14,34,48,28,7,7,14,24.0,-5
41866,W,0.446,0.167,0.675,15,38,53,17,9,7,12,26.0,9,0.333,0.318,0.767,19,28,47,17,8,2,13,26.0,-9
41867,W,0.485,0.333,0.861,14,19,33,19,7,4,15,24.0,5,0.447,0.357,0.875,17,23,40,15,7,4,17,30.0,-5
41868,W,0.488,0.5,0.636,13,33,46,23,6,6,14,22.0,9,0.451,0.125,0.75,7,28,35,15,9,2,12,23.0,-9
41869,W,0.413,0.286,0.929,9,27,36,16,4,8,15,20.0,7,0.349,0.286,0.75,19,20,39,19,6,4,10,27.0,-7
41870,W,0.516,0.182,0.792,17,38,55,29,9,1,15,21.0,24,0.41,0.4,0.654,11,22,33,28,9,4,15,17.0,-24
41871,W,0.41,0.333,0.8,14,22,36,21,9,5,8,19.0,6,0.485,0.4,0.895,7,33,40,25,5,3,20,23.0,-6
41872,W,0.368,0.357,0.762,12,28,40,20,8,2,6,25.0,9,0.467,0.385,0.81,10,38,48,21,1,5,21,32.0,-9
41873,L,0.416,0.438,0.905,8,23,31,14,6,5,15,22.0,-15,0.488,0.368,0.952,11,33,44,25,8,5,17,22.0,15
41874,W,0.415,0.333,0.818,11,42,53,20,3,4,15,24.0,1,0.41,0.421,0.684,9,32,41,22,8,5,12,22.0,-1
41875,W,0.417,0.429,0.727,17,30,47,30,15,3,20,15.0,4,0.494,0.4,0.813,8,34,42,25,11,9,18,19.0,-4
41876,L,0.434,0.286,0.844,11,31,42,15,8,5,19,28.0,-14,0.405,0.444,0.875,13,28,41,25,10,6,11,23.0,14
41877,W,0.392,0.267,0.759,14,29,43,18,7,7,15,15.0,9,0.452,0.3,0.462,7,24,31,24,11,4,17,23.0,-9
41878,L,0.378,0.308,0.778,15,31,46,17,6,4,11,21.0,-9,0.427,0.423,0.733,13,34,47,24,8,8,11,29.0,9
41879,W,0.461,0.364,0.833,12,32,44,19,5,6,11,18.0,8,0.358,0.167,0.824,13,25,38,19,7,6,9,12.0,-8
41880,L,0.493,0.4,0.8,12,25,37,12,6,2,21,22.0,-15,0.494,0.563,0.667,13,20,33,25,12,2,11,16.0,15
41881,L,0.474,0.529,0.867,10,26,36,29,9,3,17,21.0,-5,0.507,0.273,0.69,11,27,38,24,11,1,13,19.0,5
41882,W,0.441,0.391,0.786,19,29,48,22,9,2,14,20.0,16,0.418,0.308,0.762,15,27,42,17,7,6,19,17.0,-16
41883,W,0.47,0.526,0.808,13,28,41,24,14,6,11,20.0,23,0.458,0.154,0.9,8,29,37,16,3,7,20,20.0,-23
