FG_PCT_HOME,FG3_PCT_HOME,FT_PCT_HOME,OREB_HOME,DREB_HOME,REB_HOME,AST_HOME,STL_HOME,BLK_HOME,TOV_HOME,PF_HOME,FG_PCT_AWAY,FG3_PCT_AWAY,FT_PCT_AWAY,OREB_AWAY,DREB_AWAY,REB_AWAY,AST_AWAY,STL_AWAY,BLK_AWAY,TOV_AWAY,PF_AWAY,WL_HOME
0.45,0.354,0.764,9.9,33,42.9,24.4,7.6,5.1,14.8,20.6,0.431,0.347,0.776,10.3,35,45.2,22,7.1,4.4,12.8,17,0
0.476,0.35,0.763,9.6,35.4,44.9,25.4,7.4,4,14.7,21.6,0.472,0.363,0.791,9,33.5,42.5,26.9,8.5,6.5,13.5,20.3,1
0.482,0.349,0.733,11.6,35.5,47.1,26.1,7.5,4.4,14.7,18,0.466,0.374,0.779,7.9,34.9,42.8,27.5,8.3,4.9,15,21.4,0
0.463,0.372,0.811,10.6,34.8,45.4,23.9,7,4.7,13.4,19.5,0.449,0.383,0.826,10.7,33.5,44.2,21,7,5,11.2,19,1
0.477,0.364,0.795,9.4,35.1,44.5,26.8,6.7,4.1,15.4,19,0.476,0.371,0.762,10.2,35.2,45.4,23.4,9.2,6.3,14.7,20.2,1
0.465,0.357,0.778,11.1,35.3,46.5,26.8,9.3,4.7,13.2,18.9,0.458,0.391,0.78,10,35.3,45.3,21.3,7.2,5,13.1,20.5,0
0.473,0.353,0.742,9.5,34.8,44.3,24.6,7.8,5.5,15.4,19.2,0.487,0.379,0.797,10.4,34,44.5,27,8,4.6,13.5,18.9,1
0.467,0.39,0.796,10.6,37.6,48.2,23.8,6.5,5.4,14.2,18.6,0.462,0.356,0.789,9.3,34.7,44,24.6,7.1,5.1,11.5,18.3,0
